,BUILDING_NUMBER,NAME,LONGITUDE,LATITUDE
111,140S,CDF Fire Station,-122.2247580748219,37.057484898103674
112,140P,Red House Cottage,-122.2266854434521,37.062520017212975
113,140,Little Creek House,-122.2276383569825,37.063733428687506
114,140B,Roundhouse,-122.22775744888399,37.06280713117242
115,140G,Red House Mobile,-122.22700571593799,37.06287465456916
116,140F,Red House,-122.2270397633518,37.06312359459498
117,140C,Car Barn,-122.2275886629849,37.06309871676153
118,140I,Shingled Shed,-122.2272208654137,37.06332290155988
119,140H,George's House,-122.2270703202928,37.063434362458636
120,140A,Al Smith House,-122.2208470660372,37.06406942033661
121,140Q,Yurts,-122.2177667910024,37.06492710284603
122,140J,Green House,-122.2227192353084,37.04267804502223
123,140L,Bunk House,-122.22266142331999,37.04289044401125
124,140K,Green House Barn,-122.2231578033889,37.043221984592684
125,14OT,Boy Scout Camp (?),-122.20724281261299,37.06968020503727
126,140U,Archibald House (?),-122.2231687762718,37.05395589384654
127,141,Bartleson Ranch,-120.5456652734065,35.085464952418015
128,150,Poultry Science,-120.679496056385,35.311414318876366
129,153,Bella Montana,-120.6751265621409,35.29881640919666
130,154A,Animal Nutrition Center,-120.6774027563824,35.31183609476096
131,155,Lau Meat Center,-120.680916347345,35.31402683549285
132,160,Baggett Stadium,-120.6648497868392,35.30663719036417
133,161,Janssen Field,-120.6666436332728,35.30732114918912
134,170,Cerro Vista,-120.6568574264951,35.30514885352632
135,170A,Morro,-120.65679913573611,35.30425564572571
136,170B,Cabrillo,-120.65719611585301,35.30450543433138
137,170C,Hollister,-120.6574991718385,35.30479363127028
138,170D,Romauldo,-120.6573594556337,35.305387650735405
139,170E,Bishop,-120.6567604389476,35.30542737813681
140,170F,Islay,-120.6563814297872,35.30485638163744
141,170G,San Luis,-120.6573061157119,35.30403433356952
142,171,Poly Canyon Village,-120.65890336743679,35.30789326406255
143,180,Baker Science,-120.66031069368391,35.30145889033491
144,186,Construction Innovations Center,-120.66279271103241,35.299298687768065
145,187,Simpson Lab,-120.66253679654172,35.299450200836546
146,192,Engineering IV,-120.6641598209263,35.30328466281557
147,197,Bonderson Center,-120.66388683146809,35.30263335898004
148,228,Avila Pier,-120.7408358528995,35.169862529614136
